name,area,area_id,craving_id,occasion_id,vibe,cuisine,price_id,price,description,speciality,address,closest_tube_station,opening_hours,website_link
Jim's Café,Lea Bridge,2,2,6,Cosy,Contemp,1,30,"‘Easy Rider’ meets east London hipster at Jim’s Café, a greasy spoon reborn with a little help from Hackney-based motorcycle collective Black Skulls. As a drop-in it’s very cool, a bit ‘Twin Peaks’ and custom-built for the neighbourhood. The short breakfast plates menu doubles for brunch (especially with a 3.30pm cut-off at weekends) – so rev up with a wild mushroom and chopped kale omelette or a sausage-patty muffin with fried egg and American cheese, plus a non-alcoholic brew on the side (with the option of dairy-free Oatly/Bonsoy milk). Hair of the dog? Shots, cocktails, indie beers and cider await.",A visit to the adjoining Black Skulls shop for some gear.,"59 Chatsworth Road 
Homerton 
London 
E5 0LH ",Clapton,"Tue–Fri 8am-10.30pm
Sat & Sun 10am-10.30pm",https://jimscafeclapton.com/
Lantana,Shoreditch,2,1,3,Hipster,Australian,1,25,"Lantana’s weekend brunch menu rings the changes when compared to the standard menus on offer throughout the week. A few classics (smashed avocado, honey granola with Greek yoghurt) sit alongside more unusual assemblies including duck and sweet potato hash or Mexican pork with ‘drowned’ eggs and spicy taco sauce. The corn fritters are surprisingly hearty, stacked with streaky bacon, roast tomatoes, poached egg and chilli jam, while coffee is expertly made from the café’s own blend.","The ‘big bubble’ – a real monster with bubble ‘n’ squeak, Cumberland sausage, black pudding, muhammara (Levantine hot pepper dip) and spinach.","1 Oliver's Yard, 55 City Road 
Shoreditch, London 
EC1Y 1HQ ",Old Street,"Monday to Friday 8am to 6pm, takeaway from 7.30am. Saturday and Sunday 9am to 4.30pm ",http://www.lantanacafe.co.uk/
The Lido Café,Hearne Hill,3,1,1,Instagrammable,Contemp,2,35,"This Herne Hill hotspot is the perfect place to get your weekend off to a good start – take a dip in the open-air pool (if you dare), then load up on calories via the all-day brunch menu. Expect the likes of eggs Benedict with sweet, juicy Gloucester Old Spot ham and tangy hollandaise sauce, or stacks of thick buttermilk and blueberry pancakes with maple syrup. If you don’t want to undo all the good work from your morning plunge, plump for one of the slimmer options such as organic porridge, granola with Greek yoghurt and honey, or avo on toast.",Prosecco brunches and bloody marys will make your poolside brunch feel even more like a spontaneous mini-break.,"Brockwell Lido 
London 
SE24 0PA ",Herne Hill rail or Brixton tube/rail then bus 37,"Summer 8am-6pm Mon, Sun; 8am-11pm Tue-Sat. Winter 9am-6pm Mon, Sun; 9am-11pm Tue-Sat",http://www.thelidocafe.co.uk/
Leila's Shop,Shoreditch,2,1,5,Cosy,Contemp,1,20,"When it comes to brunch, the order of the day at this tiny café-cum-grocery-store is quality, not quantity. The highlight here is the fried eggs – usually served with sage or crisp-fried serrano ham. They arrive in a cast-iron frying pan accompanied by a wooden spatula for you to scoop them out onto your sourdough toast. If you’re not in the mood for an oeuf, then there’s also toast, or muesli and yoghurt. A great way to start the day, even if it’s not the weekend.","The gorgeous preserves and marmalades, sourced from small-scale producers.","17 Calvert Avenue 
London 
E2 7JP",Old Street,10am-6pm Mon-Sat; 10am-5pm Sun,https://www.instagram.com/leilas_shop/?hl=en
London Particular,News Cross,2,1,1,Cosy,Contemp,1,25,"This small but perfectly formed café gets its name from the unhealthy smog that choked the capital back in the 1950s, but its vibe is, thankfully, more wholesome. Satisfying brunches focus on dishes that use seasonal produce, such as garlicky mushrooms piled onto toast with spinach and goats’ cheese, or a brunch bowl that takes the full English far away from greasy spoon fare. Even the bacon sandwich comes with salad.","A seat outside, if it’s sunny and you’re early enough (there’s not much space inside anyway).","399 New Cross Road 
London 
SE14 6LA ",New Cross,8am-5pm Mon-Thur; 8am-10pm Fri; 10am-10pm Sat; 10am-5pm Sun,https://www.thelondonparticular.co.uk/
Lowry & Baker,North Kensington,4,1,4,Instagrammable,Contemp,1,20,"If you want to do more than a caffeine cut and run, sneak into a space at one of the tables and the staff will bring you own-made granola or pancakes, eggs on sourdough toast and other goodies, piled onto cutesy mismatched vintage crockery. A couple of simple hotplates behind the cake-laden counter do the job of a kitchen, making the beautifully poached eggs on avocado-spread bread with a mound of smoked salmon an even more impressive achievement.",The delicious riffs on reliable dishes – beans and eggs on toast among them.,"339 Portobello Rd 
London 
W10 5SA ",Ladbroke Grove,"8am-4pm Mon-Wed, Sat; 7-11pm Thu, Fri; 10am-4pm Sun",http://www.lowryandbaker.com/
Mac and Wild,Fitzrovia,5,2,4,Cosy,Contemp,2,40,"If you’re feeling foggy-headed as you step through the door at this machismo-heavy Scottish restaurant, go for the Scooby Snack, a monstrous sandwich that’s apparently been precision engineered to wipe out hangovers, packing in three versions of pig (bacon, sausage and black pudding), plus a fried egg and a ‘tattie scone’ (like a hash brown). It’s a dense beast and if you had one every morning you wouldn’t live long, but there are lighter options here, too, including cured salmon with creamy scrambled eggs and the obligatory avo on toast.",Three types of bloody mary – including one with whisky.,"65 Great Titchfield Street 
London 
W1W 7PS ",Oxford Circus,"Mon-Fri noon-3.30pm, 5.30pm-11pm, Sat 11am-4pm, 6.30pm-11pm, Sun 11am-4pm",https://www.macandwild.com/
Milk,Balham,3,3,5,Hipster,Contemp,1,25,"If your idea of a gentle awakening in the morning is a nice cup of tea listening to Radio 2, you’d best go elsewhere – you can hear the sound of deep house coming through Milk’s open French windows before you reach the Bedford Hill site. The coffee provides a good caffeine kick – Workshop always seems to feature among its suppliers – and the menu lists some interesting hot dishes, such as baked eggs with new-season asparagus.","How about buckwheat pancakes, burnt apricot, apricot kernel, lavender and bitter almond? Eh? EH?","18-20 Bedford Hill 
London 
SW12 9RG ",Balham,Brunch served Mon-Sat 8am-5pm & Sun 9am-5pm. Dinner served Thu-Sat 6.30-11pm,http://www.milk.london/
Modern Pantry,Clerkenwell,5,5,4,Hipster,Asian-European,2,35,"vThe East-meets-West cooking here – while no longer such a surprise – remains a delight. Everyday brunch dishes (weekends only) are set off with the use of unusual ingredients: the salmon is tea-smoked, the sausages are chorizo, the onglet steak is marinated in miso – even the out-of-this-world cereal is laced with garam masala. Miso, spring onion and chilli waffles; marinated feta with chickpea spring rolls and pickled mushrooms; sides of yuzu hollandaise… this is the kind of brunch you’d never dream about making yourself, which ups the satisfaction factor no end.","The signature omelette of sugar-cured prawns, with its runny middle and tangy chilli sambal. (Ask for extra sambal upfront; there’s never enough.)","47-48 St John's Square 
London 
EC1V 4JJ ",Farringdon,"Café Breakfast served 8-11am Mon-Fri. Brunch served 9am-4pm Sat; 10am-4pm Sun. Afternoon tea served 3-5pm Mon-Sat. Meals served noon-10pm Mon; noon-10.30pm Tue-Fri. Dinner served 6-10.30pm Sat; 6-10pm Sun. Restaurant Brunch served 9am-4pm Sat; 10am-4pm Sun. Lunch served noon-3pm Tue-Fri; noon-4pm Sat, Sun. Afternoon tea served 3-5pm Sat. Dinner served 6-11pm Tue-Sat",https://www.themodernpantry.co.uk/
Mr Bao,Nunhead,3,5,3,Hipster,Asian,1,20,"Bao buns for brunch? Now there’s an idea! Following the hip trend for pillowy Taiwanese morsels, this pocket-sized eatery from the people behind nearby Miss Tapas offers weekenders a section of witty brunch riffs turned on their head – try the bao benedict with slow-braised pork, wilted spinach, free-range egg and hollandaise in a bun, the mushrooms on toasted bao or the full Taiwanese – a plateful loaded with Taiwanese sausage, spring onion pancake, bacon, a bao bun, Asian beans and spiced eggs.","The Taiwanese spring onion pancake on its own, with house kimchi, cheddar, an egg (sunny side up) and basil.","293 
Rye Lane 
London 
SE15 4UA ",Peckham Rye,"Tuesday - Friday
12pm - 3pm for Lunch
6pm - 11pm for Dinner
 
Saturday
11am - 11pm
We serve our Brunch menu from 11am - 4pm
 
Sunday
11am - 10pm
We serve our Brunch menu from 11am - 4pm",https://www.mrbao.co.uk/
Mud,Tooting,3,1,4,Cosy,,1,30,"If you fancy your brekkie sunny side up, this café staffed by proper Aussies makes for a bright start in Tooting. Breakfast or brunch is served until 3pm, and dishes from the short menu tend to be variations on a few key ingredients, such as avocado, bacon, pancakes, and good sourdough bread from the Blackbird Bakery. Smashed avocado is served the Australian way with feta crumbled on top.","Decent coffee is roasted by Ozone, making for an Antipodean wake-up call louder than a didgeridoo.","141 Mitcham Rd 
London 
SW17 9PE",Tooting Broadway,"7am-5pm Mon-Fri; 9am-5pm Sat, Sun",https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7824449-Reviews-Mud-London_England.html
Nutbourne,Battersea,3,1,6,Instagrammable,Contemp,2,40,"Nutbourne gets its name from the bit of West Sussex where the Gladwin brothers – the tousled trio behind west London restaurants Rabbit and The Shed – farm and forage pretty well everything they serve here. By brunchtime the classics are all present and correct, but with a country twist – so smoked mackerel and poached eggs come with Beatrix Potter radishes for nibbling, and the baked eggs have a meadow’s worth of spinach and lovage scattered prettily over them. Green and pleasant indeed.","The drop scone with bacon jam, honeycomb, English strawberries and labneh. Trust us on this one.","29 Ransomes Dock, 35-37 Parkgate Rd 
London 
SW11 4NP ",Clapham Junction,Tue-Fri 10am-12.30am; Sat 10am-2.30am; Sun 10am-5pm,https://www.nutbourne-restaurant.com/
Oklava,Shoreditch,2,4,4,Hipster,Turkish,2,50,"At £20 per person it’s not cheap, but the leisurely sharing brunch at this buzzing Turkish-Cypriot restaurant in Shoreditch is worth the splurge. Oklava serves brunch in the style of a smorgasbord, a concept inspired by Sundays in Turkey, where people sit around for hours at tables laden with food. Dish after delicious dish starts with Turkish cheeses, fruit and dreamily light pastries, followed by menemen (spiced baked eggs), and pastirma sausage with fried eggs, whose runny yolks are perfect for dipping with the homemade bread. You’ll eat three meals’ worth of food in one sitting – enough to make brunch here suddenly seem a budget option.",Spreading the delicious medjool-date butter onto the house bread.,"74 Luke St 
London 
EC2A 4PY",Old Street,"Monday – Closed;
Tuesday – Saturday 12–3, 5.30–10.00;
Sunday – Closed",https://oklava.co.uk/
Parlour Kensal,Kensal Rise,4,3,6,Hipster,Contemp,1,30,"Here’s the brunch drill at Parlour: show up and place your order, then hit the bread station while you wait. The USP is an unlimited supply of yesterday’s bread for just £1 per person: simply help yourself, have it toasted or plain and take your pick from the various jams and spread on offer. Don’t carb-load too crazily, or you’ll struggle to finish the ensuing brunch dishes, such as hash browns with eggs any style, the bacon bap with Oxford sauce, or the massive (No Subs) Full Parlour Breakfast. Lovely juices and drinks are another plus.",The double bloody marys (£8 a shot).,"5 Regent St 
London 
NW10 5LG ",Kensal Green,Tues-Sun 10am-12am; Sun - closed,https://parlourkensal.com/
Pavillion Café,South Hackney,2,2,1,Hipster,Contemp,1,20,"Lucky, lucky ducks. Not only do the web-footed locals of Victoria Park have a gorgeous lake (complete with nesting islands and a pagoda), they also get to snack on some of the best artisan bread of any park café in London. Yards of outdoor tables and smoothly pulled coffees (with a rota of guest beans) make this a lovely watering hole for humans, too. Calorie-loaded American and British classics are cooked in straightforward style using flavourful ingredients, many of them bought in from Borough Market. Brunch is served all day, every day, 8am-6pm.",Specials can include the likes of a Sri Lankan brekkie complete with dhal and hoppers.,"Victoria Park 
London 
E9 7DE ",Mile End,"8am-4pm Mon-Fri; 8am-5pm Sat, Sun",https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d4496973-Reviews-The_Pavilion_Cafe-London_England.html
Pedler,Peckham,3,4,4,Cosy,Turkish,2,35,"The full English is taken to new heights at this quirky SE15 hangout: the homemade beans are tender and tangy, the sausage has gin in it and the addition of maple-salted butter to go on that toast is frankly outrageous. Some of the alternatives (such as the French toast, with peanut butter, streaky bacon and bananas) are similarly outlandish, but modern classics like shakshuka, eggs Benedict and avo on toast are also excellent."," Hit the road with a homemade ‘dumpkin’ doughnut, or – if you can face alcohol again by this time – a bottle of local Little Bird gin.","58 Peckham Rye 
Peckham 
London 
SE15 4JR ",Peckham Rye,5pm-11pm Tues-Thurs; 9am-11pm Fri-Sat; 9am-5pm Sun,http://www.pedlerpeckhamrye.com/
Plum + Spilt Milk,King's Cross,1,1,2,Posh posh,Contemp,3,70,"Located on the first floor of the Great Northern Hotel at King’s Cross station, this sedate railway-themed dining room is not on a sanctuary from the bustle below but a civilised spot for weekend brunch – with a bottle of Billecart-Salmon Champagne thrown in. All the classics are here – from eggs benedict and things on toast to fry-ups (meat or veggie), kedgeree and brioche eggy bread with bananas and pecans, along with some restaurant-style dishes (cod with creamed celeriac and steamed mussels, say).",Turn brunch into lunch by ordering some prime Mey Selections beef with sauces and sides.,"Great Northern Hotel 
Pancras Road 
London 
N1C 4TB",King's Cross St Pancras,"Breakfast served 7-10am Mon-Fri; 8-11am Sat, Sun. Bunch served 11am-3pm Sat. Lunch served 11.30am-3.30pm Mon-Sat. Brunch served 11.30am-3pm Sun",https://www.plumandspiltmilk.com/
Pachamama,Marylebone,4,3,5,Fancy-Pantz,Peruvian,2,40,"Bacon and eggs get a revamp at this palace to Peruvian food: at the centre of the brunch menu you’ll find quinoa or sweet-potato waffles topped with crispy rashers and fried eggs sunny-side up. Lighter snacks like the signature ceviche do exist, but brunch here, in all honesty, is about hardcore eating. Other South American twists include a pork belly chicharrón dish and Peruvian-style jerk chicken with a fiery aji amarillo dip, should you fancy a morning kick up the culo.","Of all the Peruvian waffles, you’d be a fool to not order one topped with peanut butter, plantain and cocoa nibs. Heaven.","18 Thayer Street 
London 
W1U 3JY ",Bond Street,"Monday to Friday: kitchen 12 – 3 &  6 – 11 (full menu)
3 – 6 (snacks menu) and all day bar 12 – 12
Saturday: kitchen 11 – 4 &  6 – 11 and all day bar 11 – 12
Sunday: kitchen 11 – 4 &  6 – 10 and all day bar 11-11
",http://pachamamalondon.com/
The Providores & Tapa Room,Marylebone,4,3,4,Fancy-Pantz,Greek,2,55,"The weekend-only brunch offering at Peter Gordon’s fusion destination saw the breakfast menu, raised it and won. You’ll get decision fatigue from its list of delectable dishes – signatures such as the Turkish eggs (runny-middled poached eggs on a cloud of light, tangy whipped yoghurt, submerged under a pool of chilli-spiked melted butter) are rightly popular, but here they’re competing with the likes of pulled-lamb burgers with beetroot relish and chimichurri sauce, or miso-baked aubergine with pine nuts, dates, feta, crisped buckwheat and tahini yoghurt. Groovy chilled beats set a laidback tone, matched by the service – order one of the Champagne cocktails to get yourself in a similarly mellow mood."," It all looks marvellous, but try the grilled chorizo, sweet potato miso hash, soft egg and garlic labne with – prepare yourself – star anise cashew nut praline.","109 Marylebone High Street 
London 
W1U 4RX ",Baker Street or Bond Street,"Lunch served noon-2.45pm Mon-Fri. Brunch served 11am-2.45pm Sat, Sun",https://theprovidores.co.uk/
Riding House Café,Fitzrovia,5,1,4,Cosy,Contemp,1,25,"This attractive Noho brasserie does a slamming all day brunch menu on weekends. Eggs – Hussar (with tomato, bordelaise sausage, ham, spinach and hollandaise), Florentine, Royale and so on – abound, but so to do classics like chorizo hash, kedgeree and buttermilk pancakes. There are elaborate salads and a Reuben sarnie for the more worthy/adventurous, but truly ostentatious gluttons should cast a beady eye at the Lobster Benedict.",Both French toast and buttermilk pancakes would set any sweet-toothed person up for the day.,"43-51 Great Titchfield Street 
London 
W1W 7PQ ",Oxford Circus ,"Lunch served noon-3.30pm Mon-Fri; noon-4pm Sat, Sun",http://ridinghouse.cafe/
Roka Aldwych,Holborn,5,5,2,Posh posh,Japanese,3,130,"Just like everything else it does, Roka offers a slick and perfectly presented brunch offering, with a scarily tempting option to add unlimited wine. The ‘Han Setto’ menu kicks off with ten sharing dishes – think robata-grilled vegetables with sweet yuzu miso, or flawless sashimi – then glides into your chosen main course, and follows all that with a mighty dessert platter. Arrive hungry and prepare to be wowed – this is fine dining with the air of a party.",The wine upgrade is a must for those wanting a long-haul brunch. The waiters don’t hold back.,"71 Aldwych 
London 
WC2B 4HN ",Temple,Mon-Fri 12pm – 3:30pm 5pm – 11pm;  Sat 11.30am – 4pm 5pm – 11pm; Sun 11.30am - 8.30pm,http://www.rokarestaurant.com/roka-aldwych
Shackfuyu,Soho,5,5,5,Instagrammable,Asian,3,80,"Shackfuyu likes to do things differently, so brunch here is (for some reason) offered on Sundays and Mondays – think twice about requesting the unlimited booze option if it’s not Sunday when you rock up. Shackfuyu’s brunch – a belt-bustingly generous affair – offers a choice of four courses of Western-influenced Asian food, from buttermilk fried chicken with kimchee, to iberico pork in katsu sauce. Wash it down with pineapple saké or prosecco (or a strong coffee if it’s a Monday…).","Save room for the signature dessert of buttery kinako ‘French toast’, served with green-tea-flavoured Mr Whippy-style ice cream.","14a Old Compton St 
London 
W1D 4TJ ",Leicester Square or Tottenham Court Rd,Mon noon-3pm & 5.30-10pm; Tue-Fri noon-3pm & 5.30-11pm; Sat noon-11pm; Sun and Bank Holidays noon-9pm,https://www.bonedaddies.com/restaurant/shackfuyu/
Sunday,Barnsbury,1,2,5,Instagrammable,Contemp,1,30,"Brunch lasts all weekend at this Islington hangout: the dishes on offer will induce stomach-rumbling indecision, the prices are low, the service is great and the food is magnificent. Sugar-dusted, fruit-filled French toast drizzled with salted-caramel sauce; perfectly ripe avocados with labneh, tabbouleh, poached eggs and harissa; waffles topped with pulled pork and yuzu hollandaise… basically anything your brunch belly could want is on there. And it’s all nearly too big to finish. Nearly.","Pulled pork and yuzu hollandaise, people! On waffles!","169 Hemingford Rd 
London 
N1 1DA",Caledonian Road & Barnsbury Overground,8.30am-6pm Tues-Wed; 8.30am-10.30pm Thu-Fri; 10am-10.30pm Sat; 10am-5pm Sun,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d4588343-Reviews-Sunday-London_England.html
Smoking Goat,Shoreditch,2,2,3,Cosy,Contemp,1,25,"Fancy a plate of fried chicken at ten in the morning? This fiery Thai barbecue restaurant is doing brunch till 3pm Thursday to Sunday, but not as you know it. Set in a big, bright former pub on Shoreditch High Street, Smoking Goat is thick with the scent of curry sauce, saffron eggs and wild mussel omelette. Sit up at the bar overlooking the central open kitchen and watch the signature rotis being cooked from scratch, then stuffed with aubergine and egg, smoked jowl, or beef sausage. Eat ’em with your hands, by the way, and don’t be afraid to get egg on your face.","the smoked aubergine, egg and chilli roti. And the Bloody Marys (which come spiked with fish sauce!).","64 Shoreditch High Street 
Shoreditch 
London 
E1 6JJ",Shoreditch High Street Overground,"MON—WED 12.00—15.00 . 17.30—23.00
THU—FRI 10.00—15.00 . 17.30—00.30
SAT 10.00—00.30
SUN 10.00—23.00",https://www.smokinggoatbar.com/
Snaps & Rye,North Kensington,4,1,4,Hipster,Danish,1,30,"This lovely Danish restaurant features a short brunch menu that ranges from familiar staples (granola, smoked salmon with scrambled eggs, and, of course, Danish pastries) to some fairly unusual options (think rarebit on rye bread with Danish cheese, or veggie kedgeree with nori and cumin salt). Coffees from Nude sometimes include a liquorice latte – a nod in the direction of Denmark’s favourite sweet. Brunch is served until 3pm Tuesday-Sunday.","Plump for one of the killer rarebits. Smoked bacon with liquorice syrup and pickled mushrooms, anyone?","93 Golborne Road 
London 
W10 5NL ",Ladbroke Grove/Westbourne Park,"uesday + Weds 9am to 5pm (kitchen closes at 3pm)
Thursday, Friday + Saturday 9am to 11pm (kitchen 9am to 3pm / 6.30pm to 9pm)
Sunday 9.30am to 5pm .Monday - closed",http://snapsandrye.com/
Sparrow,Lewisham,3,5,3,Hipster,Asian,2,35,"This little birdie of a restaurant has a strong claim to being Lewisham’s best. And while the British/Asian small plates they knock out on weekdays are seriously killer, its all-day weekend brunch menu is more intriguing still. This little birdie of a restaurant has a strong claim to being Lewisham’s best. And while the British/Asian small plates they knock out on weekdays are seriously killer, its all-day weekend brunch menu is more intriguing still.
Sure, there are some standards on offer (a few riffs on eggs benedict, for instance), but we’re otherwise in global explorer territory. Beef mince on dripping toast? A New Zealand classic. Coconut pancakes with peanut caramel and pineapple salsa? Please! Most exciting of all: Sri Lankan appams – crispy edged, squidgy-middled pancakes made with fermented rice batter and coconut milk. Ooof.",the appam pancake with egg and samba chilli paste. A taste of the tropics in SE13.,"2 Rennell Street 
Lewisham 
London 
SE13 7HD ",Lewisham DLR,"Tues-Fri 12-3pm, 6-10pm; Sat-Sun 10-3pm",http://www.sparrowlondon.co.uk/
The Table,Southwark,5,1,4,Casual,Contemp,2,40,"Jammed onto the side of Allies and Morrison architectural practice in Southwark, The Table Café is a serene, sorta-Antipodean-style café-restaurant and something of a quiet classic in this part of town. On weekends, the standard breakfast menu (lotsa eggs and avocado, as you’d expect) expands into brunch territory with a host of sizeable salads and burgers (hit up the brunch burger itself, with beef and pork patties, beetroot relish, sour cream, bacon, cheddar, pineapple and a fried duck egg). A perfect respite from the hordes at Tate Modern, then.","‘The stack’, a gargantuan, near-infamous pile of poached eggs, ham hock, chorizo baked beans and hollandaise, teetering off a bagel base.","83 Southwark Street 
London 
SE1 0HX ","Waterloo, Southwark or London Bridge",Mon-Fri 7.30am-10pm; Weekend Brunch: 8am-4pm,https://www.thetablecafe.com/
Towpath,De Beavoir Town,1,1,1,Casual,Contemp,1,20,"The canal-view setting at Towpath is appealing, though the constant stream of passing cyclists jingling their bells reminds you that you’re still in the capital. Everything on the brief menu is done well using excellent ingredients including free-range eggs, fine sourdough, porridge, yoghurt and fruit in season. Towpath is simple, but that doesn’t mean it’s anything less than great.",Segue from superfood bowls to unctuous grilled cheese sarnies while watching the world go by.,"Regent's Canal towpath 
between Whitmore Bridge and Kingsland Road Bridge 
London 
N1 5SB ",Haggerston Overground,"Mar-Nov 8am-dusk Tue-Fri; 9am-dusk Sat, Sun",https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d6701352-Reviews-Towpath_Cafe-London_England.html
Where the Pancakes Are,London Bridge,5,1,4,Instagrammable,Contemp,1,30,"Minimalist and airy, this independent little pancake spot in Flat Iron Square does one thing: pancakes. But boy, does it do them well. Dutch owner Patricia Trijbits is passionate about quality, so in addition to gluten-free and dairy-free (vegan) options, there’s proper maple syrup – even for the kids – plus glitteringly fresh fruit, top-notch bacon and so on. You’ll find many a pancake pilgrim here, partaking in these fluffy stacks of joy.","the ‘Dutch babies’ – baked pancakes, not unlike a giant Yorkshire pud (there are both savoury and sweet options), cooked in a cast-iron skillet.","Arch 35a 
Flat Iron Square 
85a Southwark Bridge Rd 
London 
SE1 1TDNQ ",London Bridge,"Monday, Tuesday and Wednesday: 8am - 6pm
Thursday, Friday: 8am - 9pm
Saturday: 9am - 9pm
Sunday: 9am - 6pm",https://wherethepancakesare.com/
